調査名,ボーリング名,ボーリング総数,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,取得方法コード,測地系,調査位置住所,調査期間_開始年月日,調査期間_終了年月日,調査会社_名称,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,孔口標高,総掘進長,柱状図様式,掘進角度,掘進方向,地盤勾配,試錐機_名称,エンジン_名称,ハンマー落下用具_コード,ポンプ_名称,土質岩種区分_下端深度,土質岩種区分_土質岩種区分1,土質岩種区分_土質岩種記号1,土質岩種区分_分類コード1,色調_下端深度,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,観察記事枠線_下端深度,P波試験_上端深度,P波試験_下端深度,P波試験_起振方式,P波試験_速度,S波試験_上端深度,S波試験_下端深度,S波試験_起振方式,S波試験_速度,地質時代_上端深度,地質時代_下端深度,地質時代_コード,地質時代_時代名,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,土質岩種区分_土質岩種記号2,土質岩種区分_分類コード2
防災科学技術研究所 高感度地震観測井掘削工事,GIFH05,29,5,136,57,2.9880,36,03,43.9920,09,0,岐阜県高山市荘川町岩瀬字高野49-4,1996-08-20,1996-10-25,株式会社東建ジオテック,中島　三春,碓井　等,中島　三春,橋本　利勝,839.00,103.20,2,0.00,0.00,0.00,TBM-70株式会社利根,TF-0株式会社日立、モーター1,9,NP4001株式会社利根,103.20,花崗閃緑岩,Gd,32100,103.20,暗緑灰,102.60,103.20,102.9m～103.05m間は粗粒部,103.20,42.00,92.00,不明,4290,42.00,92.00,不明,1460,26.50,103.20,99999,中生代三畳紀・古生代ペルム紀,26.50,103.20,船津花崗岩類,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH12,29,12,136,24,58.8960,35,36,0.3960,09,0,岐阜県揖斐郡揖斐川町坂内広瀬字高戸595番地,2001-10-20,2002-01-25,東京地質工業株式会社,斉藤　洋彦,長岡　和広,長岡　和広,大石　秀明,260.00,109.00,2,0.00,,,EP-1W,モーター,9,MG-40,109.00,粘板岩,Sl,20060,109.00,暗青灰～黒灰,103.00,109.00,103～109mオールコアとなる。最大コア長25cmで硬質,109.00,90.00,107.00,不明,3400,90.00,107.00,不明,1500,11.00,109.00,30000,,11.00,109.00,河岸段丘,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH06,29,6,136,47,48.8040,35,30,2.1960,09,0,岐阜県山県市高富2865-3,1996-08-09,1997-02-28,株式会社東京ソイルリサーチ,渡辺　博文,上　教一,上　教一,黒瀬　武弘,39.00,204.70,2,0.00,,0.00,NL-55型,,3,MG-40型,204.70,チャート,Cht,20150,204.70,灰～暗灰,200.00,204.70,所々1～2cm帯状に乳茶褐色を呈す部分見られる。\nコア採取率17～45％。,204.70,44.00,194.00,不明,3760,44.00,194.00,不明,1670,24.50,204.70,99999,中生代ジュラ紀～石炭紀,24.50,204.70,谷底性堆積物,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH07,29,7,136,26,15.5040,35,24,52.8840,09,0,岐阜県揖斐郡揖斐川町春日川合字笹又,1996-08-12,1997-02-28,株式会社日本パブリック,三宅　克行,福田　幸二,渡辺　真司,松本　祐市,410.00,105.00,2,0.00,,0.00,鉱研工業エクスプローラーEP-1W,30kwモーター,9,利根NP400,105.00,粘板岩,Sl,20060,105.00,暗灰～黒,103.00,105.00,砂岩、砂質粘板岩礫少量混じる,105.00,40.00,96.00,不明,3790,40.00,96.00,不明,1860,8.20,103.00,99999,中生代ジュラ紀・中生代三畳紀・古生代ペルム紀,8.20,103.00,崖錐堆積物,Sl,20060
防災科学技術研究所 高感度地震観測井掘削工事,GIFH13,29,13,136,54,3.0960,36,16,16.2120,09,0,岐阜県大野郡白川村飯島707番地の2,2002-03-27,2002-11-25,三井金属資源開発株式会社,高橋　英一郎,形部　雄二,井上　敏夫,今西　主一,480.00,156.20,2,0.00,,0.00,EP-1W,三相モーター18.5kw,9,MG-40,156.20,花崗岩,Gr,32110,156.20,灰白～白,152.00,156.20,一部変質するも、概ね新鮮な花崗岩。,156.20,130.00,152.00,不明,3900,130.00,152.00,不明,1700,8.00,156.20,20000,,8.00,156.20,白川花崗岩類,Ss,20020
防災科学技術研究所 高感度地震観測井掘削工事,GIFH17,29,17,136,52,34.2120,35,56,53.8080,09,0,岐阜県郡上市高鷲町大鷲字躑躅ヶ野1219-1,2002-03-27,2002-11-25,三井金属資源開発株式会社,高橋　英一郎,形部　雄二,井上　敏夫,清水　康尚,610.00,103.00,2,0.00,,0.00,SDR-2A,三相モーター18.5kw,9,MG-40,103.00,溶結凝灰岩,Wtf,42100,103.00,褐灰～灰,86.00,103.00,径50mm程度以下の同質岩片を混入する溶結凝灰岩からなり、20～30°前後の傾斜での流理構造が明瞭に認められる。\n全体に亀裂及び潜在亀裂に沿って風化し褐色化するが、岩芯は概ね新鮮で堅硬な岩盤である。,103.00,50.00,100.00,不明,3700,50.00,100.00,不明,1600,10.00,103.00,20000,,10.00,103.00,濃飛流紋岩類,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH03,29,3,136,36,58.8960,35,37,45.6960,09,0,岐阜県本巣市根尾板所827番地,1996-08-13,1997-02-28,平井工業株式会社,吉田　友彦,吉田　友彦,吉田　友彦,田中　幸雄,170.00,103.00,2,0.00,,0.00,NL-38メガロ,電気モーター18.5kw,9,MG-40,103.00,頁岩,Sh,20050,103.00,暗灰,100.50,103.00,100.0～103.0m間，砂(スライム)状コアを主体とし、所々に砂岩礫が岩片状で散在する。砂岩礫は硬質な状態で残っているが、頁岩としての岩構造は失われ土砂化している。,103.00,46.00,96.00,不明,3040,46.00,96.00,不明,910,7.40,103.00,99999,中生代ジュラ紀・中生代三畳紀・古生代ペルム紀,7.40,103.00,盛土,,
防災科学技術研究所 高感度地震観測井掘削工事,FKIH05,7,5,136,01,59.3040,35,38,8.9160,09,0,福井県敦賀市沓見149号南庄田1番,1998-10-22,1999-02-26,ニチボー,尾毛谷　茂有,西村　義章,三好　正,川地　義勝,10.00,125.00,2,0.00,,,L-38,18.5ｋｗ,9,MG-25,125.00,花崗岩,Gr,32110,125.00,灰,120.00,125.00,\n120.0～120.2間、亀裂集中し、亀裂面は酸化汚染により黄褐色に変色する。\n120.2m以深、棒状コア主体となる。コアは硬質で、ハンマーの打撃により金属音を発するが、風化により長石の白濁化および黒雲母の緑色化が認められる。,125.00,80.00,121.00,不明,3150,80.00,121.00,不明,1160,28.00,125.00,12500,,28.00,125.00,深成岩類（敦賀花崗岩）,,
防災科学技術研究所 高感度地震観測井掘削工事,FKIH04,7,4,135,52,19.9920,35,33,20.0160,09,0,福井県三方上中郡若狭町田井23-10,1998-10-22,1999-02-26,株式会社ニチボー,尾毛谷　茂有,西村　義章,三好　正,佐々木　勝雄,3.00,203.00,2,0.00,,,L-38,18.5ｋｗ,9,NP-400,203.00,泥岩,Ms,20040,203.00,暗緑灰～緑灰,200.80,203.00,200.8m以深では暗緑灰色の泥岩が優勢となる。泥岩は緑泥石化が著しく、亀裂が多く軟質である。ハンマーの打撃で濁音を発する。コアは礫状から短棒状を呈し、亀裂に沿って粘土を挟む。\n202.0～202.3m間は石灰岩で、泥岩を礫状に取り込んでいる。,203.00,98.00,198.00,不明,5500,98.00,198.00,不明,2300,104.00,203.00,22000,,104.00,203.00,堆積岩類（丹波帯）,,
防災科学技術研究所 高感度地震観測井掘削工事,FKIH06,7,6,135,29,12.9840,35,29,15.0000,09,0,福井県大飯郡高浜町高野17-2,1998-10-22,1999-02-26,株式会社ニチボー,尾毛谷　茂有,西村　義章,三好　正,佐々木　勝雄,160.00,103.00,2,0.00,,,L-38,18.5ｋｗ,9,MG-25B,103.00,凝灰岩,Tf,42030,103.00,灰褐～褐,95.00,103.00,95.0mより棒状コアが主体となる。\n灰褐色の凝灰岩主体で、黒色の泥岩が縞状ないし礫状に入る。,103.00,86.00,98.00,不明,2050,86.00,98.00,不明,1050,8.00,103.00,12200,,8.00,103.00,堆積岩類（内浦層群）,,
防災科学技術研究所 高感度地震観測井掘削工事,FKIH07,7,7,135,43,45.9840,35,27,15.0120,09,0,福井県小浜市口田縄第8号18，19番地,1998-10-22,1999-02-26,株式会社ニチボー,尾毛谷　茂有,西村　義章,三好　正,佐々木　勝雄,43.00,107.50,2,0.00,,0.00,L-38,18.5ｋｗ,9,MG-50B,107.50,泥岩,Ms,20040,107.50,黒,105.00,107.50,105.1～105.6m間軟質化し、コアは礫状から粘土状を呈し、指圧で崩れる。\n105.6m以深ではコアは短棒状から岩片状を呈し、硬質となりハンマーの打撃で金属音を発する。,107.50,38.00,103.00,不明,4000,38.00,103.00,不明,2180,30.00,107.50,22000,,30.00,107.50,堆積岩類（丹波帯）,Ms,20040
防災科学技術研究所 高感度地震観測井掘削工事,FKIH03,7,3,136,42,6.9840,35,56,17.9880,09,0,福井県大野市朝日前坂16字坂ノ尻3-6,1998-10-22,1999-02-26,株式会社ニチボー,尾毛谷　茂有,西村　義章,三好　正,山本　勝也,510.00,203.00,2,0.00,,,NL-55,30ｋｗ,9,NP-700,203.00,砂岩,Ss,20020,203.00,灰白～白,201.20,203.00,201.2m付近、泥岩とチャートの円礫が砂岩中に見られる。,203.00,80.00,198.00,不明,3600,80.00,198.00,不明,1570,12.00,203.00,21000,,12.00,203.00,堆積岩類（手取層群）,,
防災科学技術研究所 高感度地震観測井掘削工事,FKIH02,7,2,136,03,30.3840,35,56,42.6120,09,0,福井県丹生郡越前町下河原37-19-1,1998-10-22,1999-02-26,株式会社ニチボー,尾毛谷　茂有,西村　義章,三好　正,川地　義勝,120.00,103.00,2,0.00,,,L-38,18.5ｋｗ,9,MG-25,103.00,安山岩,An,31050,103.00,緑灰～灰,86.00,103.00,緑灰色を呈する安山岩で、斑晶はカルサイトに、石基は緑泥石にそれぞれ変化し、原岩の組織はほとんど残っていない。\nコアは硬質で、ハンマーの打撃で金属音を発するが、亀裂が多く、亀裂に沿って割れ易い。\nコアは棒状から岩片状を呈する。\n亀裂面は黄褐色ないし赤褐色に変色する。亀裂に沿ってカルサイトの充填が見られる。\n86.8～86.9m間、カルサイトによって置き換えられ、緑白色を呈する。\n87.6～88.5m間、垂直方向の亀裂が発達する。\n93.0～95.0m間、コアは短棒状から岩片状を呈する。\n93.0～103.0m間、コアは棒状から岩片状を呈する。,103.00,46.00,98.00,不明,4700,46.00,98.00,不明,1840,47.00,103.00,12200,,47.00,103.00,火山岩類（糸生層）,,
防災科学技術研究所 高感度地震観測井掘削工事,FKIH01,7,1,136,21,52.5960,36,05,32.4960,09,0,福井県吉田郡永平寺町吉波23-10-33,1998-10-22,1999-02-26,株式会社ニチボー,尾毛谷　茂有,西村　義章,三好　正,山本　勝也,65.00,103.00,2,0.00,,,TBM-88,18.5ｋｗ,9,MG-40,103.00,安山岩,An,31050,103.00,緑灰～灰,97.20,103.00,岩は硬質でハンマーの打撃で金属音を発する。亀裂は少なくなり、棒状コアが主体となる。\n淡黄灰色の変質鉱物が斑晶状あるいは脈状で認められる。\n亀裂面に沿ってカルサイト、緑泥石等の付着が見られる。\n100.5m付近石英の巨晶(径1.5cm)が見られる。\n102.6m付近の割れ目には赤褐色の鉱物の付着が認められる。,103.00,64.00,98.00,不明,5000,64.00,98.00,不明,2500,97.20,103.00,12200,,97.20,103.00,火山岩類（糸生層）,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH25,29,25,136,36,56.3040,35,31,5.7000,09,0,岐阜県揖斐郡揖斐川町谷汲徳積字西磧1324-12,2002-03-27,2003-01-31,大泉開発株式会社,二川原　満生,二川原　満生,二川原　満生,鎌田　浩明,75.00,105.50,2,0.00,,,鉱研製L-38,,9,鉱研製MG-30,105.50,珪質泥岩・チャート互層,Ms,20040,105.50,黒灰～暗灰,102.00,105.50,灰色のチャート優勢で非常に硬質である。,105.50,92.00,102.00,不明,4800,92.00,102.00,不明,2100,18.00,105.50,99999,白亜紀最前期～ジュラ紀後期,18.00,105.50,美濃帯堆積岩コンプレックス,Cht,20150
防災科学技術研究所 高感度地震観測井掘削工事,GIFH27,29,27,137,00,25.0920,35,26,58.2000,09,0,岐阜県美濃加茂市前平町3丁目12,2002-03-27,2003-01-31,大泉開発株式会社,二川原　満生,二川原　満生,二川原　満生,鎌田　浩明,85.00,203.00,2,0.00,,,鉱研製L-38,,9,鉱研製MG-30,203.00,凝灰角礫岩,Tb,42060,203.00,暗緑灰～暗灰,192.50,203.00,角礫は安山岩の中～小礫を主体とするが、20cm程度の巨礫や暗黒色のシルト岩も含まれている。\n暗緑灰色を呈し、長柱～棒状のコアで採取される。\n風化変質はなく硬質である。,203.00,48.00,199.00,不明,3300,48.00,199.00,不明,1600,4.00,203.00,12200,,4.00,203.00,瑞浪層群蜂谷累層,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH26,29,26,136,52,45.8040,35,24,32.1120,09,0,岐阜県各務原市蘇原東島町3丁目98番3,2002-03-27,2003-01-31,大泉開発株式会社,二川原　満生,二川原　満生,二川原　満生,伊藤　久,35.00,103.50,2,0.00,,,利根製LFM-402,,9,利根製NAS-30,103.50,黒色泥岩,Ms,20040,103.50,暗黒灰,101.00,103.50,縦方向に亀裂が発達しているものの亀裂は密着しており、風化変質はほとんど認められない。\n混入物は認められないが、チャートの細脈を一部挟在する。,103.50,84.00,100.00,不明,4000,84.00,100.00,不明,1900,42.00,103.50,22000,,42.00,103.50,美濃帯堆積岩,,
防災科学技術研究所 高感度地震観測井掘削工事,ISKH09,9,9,136,43,10.9920,36,15,48.9960,09,0,石川県白山市尾添チ25-1,1999-02-26,,利根地下技術株式会社,西垣　純,伊藤　純,清川　求,,560.00,108.50,2,0.00,,,EP-1,30ｋｗ,9,BG-15,108.50,流紋岩,Ry,31110,108.50,灰白,,,,108.50,52.00,104.00,不明,2720,52.00,104.00,不明,1150,89.20,108.50,12200,,89.20,108.50,月長石流紋岩,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH23,29,23,136,47,15.5040,35,43,13.1160,09,0,岐阜県関市板取2035番地,2002-03-27,2003-01-31,大泉開発株式会社,二川原　満生,二川原　満生,二川原　満生,鎌田　浩明,350.00,103.00,2,0.00,,,鉱研製L-38,,9,鉱研製MG-30,103.00,砂岩,Ss,20020,103.00,暗灰～黒灰,87.50,103.00,暗灰色～黒灰色を呈し、凝灰質で粒子は細粒である\n砂岩基質は緻密で熔結凝灰岩状を呈している。\n短柱～長柱状のコアで採取され、風化変質が無く非常に硬質である。\n所々にチャートの細脈が発達し、亀裂が生じている。,103.00,84.00,99.00,不明,4100,84.00,99.00,不明,1900,20.00,103.00,22000,,20.00,103.00,小駄良川層　徳永砂岩,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH21,29,21,136,57,53.1000,35,39,47.9160,09,0,岐阜県郡上市美並町白山字森本425番地の1,2002-03-27,2002-11-25,三井金属資源開発株式会社,高橋　英一郎,形部　雄二,井上　敏夫,吉賀　喜一郎,170.00,203.00,2,0.00,,0.00,L-38,三相モーター18.5kw,9,BG-30B,203.00,混在岩（チャート優勢）,Mx,20170,203.00,灰～暗緑灰,186.00,203.00,灰色部と暗緑灰色部及び黒灰色部が、幅数mm～30mm程度で層状をなすチャートを主体とし、泥岩、砂岩を不規則に混在する。岩質は新鮮で、非常に堅硬であり、亀裂は少なく、コアは棒～柱状を呈する。,203.00,32.00,100.00,不明,4900,32.00,100.00,不明,2200,10.00,203.00,20000,,10.00,203.00,美濃-丹波帯中古生層,,
防災科学技術研究所 高感度地震観測井掘削工事,GIFH08,29,8,136,57,54.2880,35,49,44.6880,09,0,岐阜県郡上市大和町古道字管沼862-1,1997-08-13,1997-12-25,平井工業株式会社,,,,,515.00,103.00,2,0.00,,0.00,,,9,,103.00,頁岩,Sh,20050,103.00,黒灰～緑灰～黒灰,99.50,103.00,短柱～岩片状コア主体。\n所々にチャート・砂岩が薄く挟在。\n100～102m付近に亀裂多く、岩片～礫状コアが卓越。\n102.65mより短柱コアを成す。,103.00,32.00,96.00,不明,3150,32.00,96.00,不明,1170,8.20,103.00,99999,中生代ジュラ紀・中生代三畳紀・古生代ペルム紀,8.20,103.00,,,
